Time,Error
0,0.999836
1,0.952475
2,0.902574
3,0.852108
4,0.748786
5,0.739955
6,0.704974
7,0.634294
8,0.619342
9,0.623168
10,0.606290
11,0.611138
12,0.604811
13,0.595814
14,0.583016
15,0.587739
16,0.566785
17,0.532559
18,0.598477
19,0.615691
20,0.599249
21,0.643052
22,0.623206
23,0.602608
24,0.683521
25,0.663851
26,0.643649
27,0.613943
28,0.670119
29,0.640293
30,0.593259
31,0.687017
32,0.621356
33,0.559864
34,0.702642
35,0.677354
36,0.635863
37,0.687173
38,0.720635
39,0.672363
40,0.663150
41,0.600255
42,0.583699
43,0.546724
44,0.537067
45,0.502340
46,0.468982
47,0.415679
48,0.385571
49,0.388501
50,0.430396
51,0.394258
52,0.365696
53,0.456946
54,0.561464
55,0.494949
56,0.460576
57,0.607415
58,0.527749
59,0.619631
60,0.582070
61,0.704317
62,0.672905
63,0.619763
64,0.543083
65,0.523312
66,0.594504
67,0.578862
68,0.620557
69,0.781152
70,0.900822
71,0.836205
72,0.787355
73,0.754168
74,0.673695
75,0.676800
76,0.648257
77,0.747390
78,0.792122
79,0.719128
80,0.802781
81,0.698692
82,0.632568
83,0.596311
84,0.657366
85,0.758549
86,0.690638
87,0.661887
88,0.627227
89,0.752885
90,0.841426
91,0.731269
92,0.823763
93,0.912794
94,0.798540
95,0.877170
96,0.803291
97,0.754126
98,0.772884
99,0.702136
100,0.781701
101,0.738959
102,0.727396
103,0.769523
104,0.786072
105,0.756067
106,0.709532
107,0.662656
108,0.650804
109,0.629021
110,0.753855
111,0.841932
112,0.854172
113,0.829171
114,0.752475
115,0.738391
116,0.684820
117,0.649504
118,0.697773
119,0.711054
120,0.642742
121,0.611757
122,0.569741
123,0.559662
124,0.591866
125,0.734581
126,0.712259
127,0.683426
128,0.825846
129,0.916018
130,0.858426
131,0.833073
132,0.800727
133,0.749965
134,0.741274
135,0.656856
136,0.787946
137,0.768472
138,0.727871
139,0.675047
140,0.651921
141,0.618462
